DOI,Title,Authors,Year,Document Type,Source Title,Standardized Keywords,Research Categories,Cited By,Quality Score,Quality Tier
"10.70730/RMKA9428","Digital Plagiarism in EFL Education during the AI Era: A Comparative Study of Perceptions among Learners and Instructors in Korea, Mongolia, and China","Shin Y., Wei S., Vanchinkhuu N.",2025,"Article","LEARN Journal: Language Education and Acquisition Research Network","comparative study; digital plagiarism; perception survey; use of ai-based tools in l2; writing practice","Educational Context",0,80,"High"
"10.1109/CANDO-EPE57516.2022.10046379","AI Based Plagiarism Checking : Ease of use and applicable system for teachers to find similarities in students' assessments","Molnar G., Jozsef C.",2022,"Conference paper","CANDO-EPE 2022 - IEEE 5th International Conference","angular; artificial intelligence; assessment; nodejs; plagiarism; python","Detection Technology; Educational Context; Technical Implementation",0,80,"High"
"10.1109/ESIC64052.2025.10962738","AI-driven Student Task Management Platform With Plagiarism Checker For Submissions","Durge T., Bansod A., Deshmukh S., et al.",2025,"Conference paper","ESIC 2025 - 5th International Conference on Emerging Systems and Intelligent Computing","cosine similarity; machine learning; plagiarism detection; semantic analysis; text similarity","Detection Technology; Technical Implementation",0,80,"High"
"10.1136/bmj.p1133","ChatGPT and other AI tools put students at risk of plagiarism allegations, MDU warns","Graham A.",2023,"Note","BMJ (Clinical research ed.)","artificial intelligence; human; plagiarism; student","Educational Context",0,65,"Medium"
"10.4018/979-8-3693-5748-4.ch005","Epistemological dilemma: Evaluating conflicting sources in AI plagiarism detection of students' work","Mohmmed A.O., Elmardi A.S., Saleem M.W., Ganawa E.",2024,"Book chapter","Exploring Pillars of Sustainability for Modern Age Improvements","","Detection Technology; Educational Context",0,50,"Medium"
"10.1007/978-3-031-94153-5_22","Detecting the Undetectable: The Need for a New Paradigm for Academic Writing Evaluation in the AI Era","Kim H.N.",2025,"Conference paper","Communications in Computer and Information Science","academic integrity; ai detection; ai-assisted evaluation; plagiarism detection","Detection Technology; Educational Context",0,80,"High"
"10.1007/s10805-024-09576-x","Survey on AI-Generated Plagiarism Detection: The Impact of Large Language Models on Academic Integrity","Pudasaini S., Miralles-Pechuán L., Lillis D., Llorens Salvador M.",2024,"Article","Journal of Academic Ethics","academic cheating; artificial intelligence generated content; large language models; plagiarism","Detection Technology; Ethics & Policy",0,80,"High"
"10.1186/s40468-023-00268-8","Correction: Using AI-based detectors to control AI-assisted plagiarism in ESL writing","Ibrahim K.",2023,"Erratum","Language Testing in Asia","","Educational Context; Detection Technology",0,35,"Low"
"10.1007/s44163-024-00203-7","AI chatbots in programming education: guiding success or encouraging plagiarism","Akçapınar G., Sidan E.",2024,"Article","Discover Artificial Intelligence","ai in education; ai programming assistant; gpt; large language models; plagiarism; student-ai interaction","Educational Context; Programming & Code",0,80,"High"
"10.1007/978-3-031-83520-9_14","Similarities of Human and AI Assistance in Programming Plagiarism: Student Perspective","Karnalim O.",2025,"Conference paper","Lecture Notes in Networks and Systems","ai misuses; engineering education; plagiarism; programming; survey","Educational Context; Programming & Code",0,80,"High"
"10.23870/marlas.444","An AI Solution: Using ChatGPT to Counter Plagiarism and Boost Enrollments in Hispanic Literature Courses","McInnis-Domínguez M.",2023,"Article","Middle Atlantic Review of Latin American Studies","academic integrity; ai technology; chatgpt; enrollments; hispanic literature; plagiarism","Educational Context",0,80,"High"
"10.1080/0361526X.2024.2433256","The Problem with False Positives: AI Detection Unfairly Accuses Scholars of AI Plagiarism","Giray L.",2024,"Article","Serials Librarian","academic integrity; ai detection; ai plagiarism; algorithmic bias; false positives; scholarly writing","Detection Technology; Ethics & Policy",0,80,"High"
"10.1109/EDUNINE62377.2025.10981357","Work in Progress: High School Student Perspective on AI-based Plagiarism","Karnalim O., Tallar R.Y., Yapinus P.P., Tanubrata M., Wong H.",2025,"Conference paper","EDUNINE 2025 - 9th IEEE Engineering Education World Conference","artificial intelligence; k-12; plagiarism; student perspective","Educational Context",0,80,"High"
"10.1007/s40299-025-01004-x","Perspectives on Potential Plagiarism Triggered by AI Among Chinese University Students","Zhang C., Ma X., Lee I.",2025,"Article","Asia-Pacific Education Researcher","academic stage; artificial intelligence; chinese students; discipline; plagiarism","Educational Context",0,80,"High"
"10.1145/3639474.3640084","Automated Detection of AI-Obfuscated Plagiarism in Modeling Assignments","Sağlam T., Hahner S., Schmid L., Burger E.",2024,"Conference paper","Proceedings - International Conference on Software Engineering","artificial intelligence; chatgpt; obfuscation; plagiarism detection","Detection Technology; Technical Implementation",0,80,"High"
"10.1201/9781003470304-9","AI Tools for Plagiarism Detection and Academic Integrity","Baghavathi Priya S., Kavya Sai B., Madeswaran T.S.",2025,"Book chapter","Adopting Artificial Intelligence Tools in Higher Education: Student Assessment","","Detection Technology; Educational Context",0,50,"Medium"
"10.1021/acsenergylett.4c00975","Plagiarism Check in the Era of AI","Kamat P.V.",2024,"Editorial","ACS Energy Letters","","Detection Technology",0,35,"Low"
"10.1007/s40319-025-01608-2","New Ways of Plagiarism? At the Meeting Point of the Specific Form of Co-Authorship and the Transparency Criteria of the EU AI Regulation","Pogácsás A.",2025,"Article","IIC International Review of Intellectual Property and Competition Law","(co-)authorship; ai assisted creation; copyright presumptions; transparency; unlawful appropriation","Ethics & Policy",0,80,"High"
"10.1007/978-3-031-64954-7_24","Learning AI Coding Style for Software Plagiarism Detection","Ambati S.H., Stakhanova N., Branca E.",2025,"Conference paper","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering","ai-generated code; code attribution; plagiarism detection","Programming & Code; Detection Technology; Technical Implementation",0,80,"High"
"10.1186/s40468-023-00260-2","Using AI-based detectors to control AI-assisted plagiarism in ESL writing: The Terminator Versus the Machines","Ibrahim K.",2023,"Article","Language Testing in Asia","academic integrity; ai-assisted plagiarism; esl composition; generative artificial intelligence; language assessment","Educational Context; Detection Technology",0,80,"High"
"10.24310/crf.16.2.2024.19635","Between the Muse and the Code: Exploring the boundaries of plagiarism and inspiration in the age of AI","Peña S.B.",2024,"Article","Claridades","artificial intelligence; generative artificial intelligence; plagiarism; technology","Ethics & Policy",0,80,"High"
"10.1108/LHTN-03-2024-0049","AI Open research Plagiarism Dupli Checker, Scribbr Plagiarism Checker, Quetext, Small SEO Tools Plagiarism Checker Web Technology: comparative study","Negi D.S., Pandey P.K.",2024,"Article","Library Hi Tech News","ai open research plagiarism; artificial intelligence; dupli checker; scribbr; seo tools","Detection Technology",0,80,"High"
"86000290005","Plagiarism in the Age of Generative AI: An Exploratory Experiment","Safi R.",2025,"Article","Communications of the Association for Information Systems","authorship attribution; authorship style; cheating; education; generative artificial intelligence; text analysis","Detection Technology; Educational Context",0,80,"High"
"10.1109/TALE56641.2023.10398397","Plagiarism and AI Assistance Misuse in Web Programming: Unfair Benefits and Characteristics","Karnalim O., Handoyo E.D., Toba H., et al.",2023,"Conference paper","2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering","artificial intelligence; computing education; controlled experiment; plagiarism; programming","Educational Context; Programming & Code",0,80,"High"
"10.4018/IJCALLT.375428","The Robustness of AI-Classifiers in the Face of AI-Assisted Plagiarism: The Case of Turnitin AI Content Detector","Ibrahim K.H.S., Al Otaibi D., Sibai F.N.",2025,"Article","International Journal of Computer-Assisted Language Learning and Teaching","artificial intelligence; deep neural networks; educational assessment; l2 writing competence; sustainability","Detection Technology; Educational Context",0,80,"High"
"10.1109/FIE61694.2024.10893117","AI Generated Code Plagiarism Detection in Computer Science Courses: A Literature Mapping","Simmons A., Holanda M., Chamon C., Da Silva D.",2024,"Conference paper","Proceedings - Frontiers in Education Conference, FIE","academia; ai; code; education; mapping; plagiarism detection; programming; similarity","Detection Technology; Educational Context; Programming & Code",0,80,"High"
"10.1109/CSITSS64042.2024.10816820","Plagiarism Detection: Identifying AI-Generated and Paraphrased Content","Kumari A., Singh N., Spoorthi V., Kavitha S.N.",2024,"Conference paper","8th IEEE International Conference on Computational System and Information Technology for Sustainable Solutions","","Detection Technology; Technical Implementation",0,50,"Medium"
"10.56012/ovnr4109","AI-based plagiarism detectors: Plagiarism fighters or makers?","Lannoy V.",2023,"Article","Medical Writing","","Detection Technology",0,65,"Medium"
"10.17705/1CAIS.05624","Detecting Plagiarism in the Age of Generative AI: An Exploratory Experiment","Safi R.",2025,"Article","Communications of the Association for Information Systems","adversarial stylometry; authorship attribution; authorship style; cheating; education; generative artificial intelligence; text analysis","Detection Technology; Educational Context",0,80,"High"
"10.32802/ASMSCJ.2025.1918","AI on Academic Integrity and Plagiarism Detection","Leong W.Y., Zhang J.B.",2025,"Article","ASM Science Journal","academic integrity; artificial intelligence; education; ethics; machine learning; natural language processing; plagiarism detection","Detection Technology; Educational Context; Ethics & Policy",0,80,"High"
"10.1109/ICACITE60783.2024.10616945","AI Hybrid Based Plagiarism Detection System Creation","Fuad A.J., Wicaksono A.K., Aqib M.A., et al.",2024,"Conference paper","2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering","academic integrity; artificial intelligence; bias mitigation; ethical considerations; machine learning algorithms; natural language processing; plagiarism detection; scalability; textual content; traditional methods","Detection Technology; Technical Implementation",0,80,"High"
"10.1136/bmj.p1403","Educators, students, and plagiarism in age of AI","Simpson D.",2023,"Note","BMJ","artificial intelligence; human; plagiarism; student","Educational Context",0,65,"Medium"
"10.31992/0869-3617-2024-33-2-31-53","Ethics and AI-Plagiarism in an Academic Environment: Students' Understanding of Compliance with Author's Ethics","Sysoyev P.V.",2024,"Article","Vysshee Obrazovanie v Rossii","ai plagiarism; artificial intelligence; digitalization of education; ethics; higher school; plagiarism","Educational Context; Ethics & Policy",0,80,"High"
"10.1109/ICAISS61471.2025.11042029","Identifying AI-Generated Text Designed to Evade Plagiarism Detection","Ahlawat A.S., Karlapalam J.S., Joshi P., Venugopal V., Vekkot S.",2025,"Conference paper","Proceedings of 3rd International Conference on Augmented Intelligence and Sustainable Systems","ai content detection; bert fine-tuning; chunks; deep learning; humanizer; linguistic features; machine-generated text; natural language processing; plagiarism detection; syntactic features; text classification","Detection Technology; Technical Implementation",0,80,"High"
"105009032939","Aigiarism: Reframing our understanding of plagiarism in the age of ai","Sarles P.",2025,"Article","Computers in Libraries","","Ethics & Policy",0,65,"Medium"
"10.1049/et.2023.0904","THE AI PLAGIARISM MINEFIELD","Edwards C.",2023,"Article","Engineering and Technology","","Detection Technology",0,65,"Medium"
"10.18653/v1/2023.bea-1.58","Beyond Black Box AI-Generated Plagiarism Detection: From Sentence to Document Level","Quidwai M.A., Li C., Dube P.",2023,"Conference paper","Proceedings of the Annual Meeting of the Association for Computational Linguistics","","Detection Technology; Technical Implementation",0,65,"Medium"
